CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg02834909,chr3:46759438,3,46759438,PRSS50,Island,0.04477,0.00991,1.1e-05,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg03526776,chr6:41159608,6,41159608,TREML2,Open sea,0.16712,0.00608,1.1e-68,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.09822,0.00434,3.2e-56,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg05406088,chr15:66947617,15,66947617,-,South shore,0.13501,0.01778,1.3e-12,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg05554000,chr7:158905015,7,158905015,VIPR2,North shore,-0.08247,0.01228,2e-10,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg05860956,chr12:312595,12,312595,SLC6A12,Island,0.05245,0.01232,3.2e-05,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg06941159,chr16:28875210,16,28875210,SH2B1,Island,0.03466,0.00362,5.6e-18,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg07103846,chr17:80970159,17,80970159,B3GNTL1,Island,0.17376,0.00801,1.3e-53,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg09205595,chr7:150782539,7,150782539,AGAP3,North shore,0.10763,0.00821,1.6e-28,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg09420691,chr21:43229483,21,43229483,PRDM15,Island,0.01097,0.00167,4.2e-10,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,0.06869,0.01103,2.9e-09,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,0.23898,0.00865,5.3e-69,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg09756125,chr7:158250978,7,158250978,PTPRN2,South shore,-0.2507,0.01798,5.1e-31,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg09911534,chr15:67153556,15,67153556,-,Open sea,0.10023,0.01348,3.3e-12,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg12580445,chr5:121414634,5,121414634,LOX,South shore,0.12904,0.01573,3.2e-14,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg12751644,chr20:60527061,20,60527061,-,South shelf,0.14336,0.01395,5e-20,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg13303179,chr3:46759335,3,46759335,PRSS50,Island,0.07147,0.00839,4.4e-15,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,0.05299,0.00658,8.4e-14,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg15525848,chr5:16509123,5,16509123,FAM134B,Open sea,0.51516,0.00835,5.6e-129,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg15587955,chr8:19026658,8,19026658,-,Open sea,0.08364,0.00622,1.7e-29,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg16101574,chr7:7291514,7,7291514,-,Open sea,-0.41879,0.01761,2.8e-59,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg16680214,chr1:154839983,1,154839983,KCNN3,Open sea,0.25421,0.01049,1.8e-60,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg16744531,chr19:17905626,19,17905626,B3GNT3,Island,0.18759,0.02365,1.7e-13,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg16874583,chr12:7781004,12,7781004,-,Island,-0.03631,0.00754,2.9e-06,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg16910670,chr11:71215361,11,71215361,-,Open sea,0.02171,0.00266,4.2e-14,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg17240725,chr7:73149356,7,73149356,WBSCR26,North shelf,0.42059,0.01382,1.3e-75,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg17361163,chr7:101006019,7,101006019,EMID2,Island,-0.0744,0.00927,9.5e-14,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg17429772,chr7:158269409,7,158269409,PTPRN2,Open sea,0.08695,0.00835,1.9e-20,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg18026197,chr3:126422536,3,126422536,CHCHD6,North shore,0.03177,0.00688,7.1e-06,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg18595228,chr15:67193261,15,67193261,-,Open sea,-0.01294,0.00211,5e-09,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg19063834,chr5:16509047,5,16509047,FAM134B,Open sea,0.48596,0.01088,1e-103,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,0.26084,0.01066,4.7e-61,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg20910361,chr4:141877033,4,141877033,RNF150,Open sea,0.06027,0.00408,1.7e-33,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg21960279,chr19:17905606,19,17905606,B3GNT3,Island,0.10258,0.01046,1.1e-18,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg22481960,chr3:13008800,3,13008800,IQSEC1,Island,0.11539,0.00364,2e-78,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg22939563,chr7:157162115,7,157162115,DNAJB6,Open sea,0.03236,0.00486,2.9e-10,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg24786658,chr7:112727423,7,112727423,GPR85,Open sea,0.19896,0.00856,8e-58,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg25290307,chr7:101005910,7,101005910,EMID2,Island,-0.05729,0.01019,6.5e-08,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg26175789,chr2:75821892,2,75821892,-,Open sea,-0.09088,0.00455,6.9e-49,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg26308704,chr7:158325586,7,158325586,PTPRN2;MIR595,Open sea,-0.09864,0.01128,1.1e-15,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,0.03684,0.00363,1.1e-19,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg26509731,chr6:80578590,6,80578590,-,Open sea,0.01216,0.00227,2.3e-07,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg26655517,chr19:54518382,19,54518382,-,South shelf,0.19158,0.00907,4.4e-52,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
